fideid,name,country,sex,title,w_title,o_title,foa_title,rating,games,k,birthday,flag
3242633,"Aanan, Shafiuddin",AUS,M,,,,,1817,0,20,2006,i
3208494,"Abbott, Peter",AUS,M,CM,,,,1814,0,20,1955,
3276759,"Abdelnur, Adriano",AUS,M,,,,,1699,0,20,1982,
3245624,"Abreu, Victor",AUS,M,,,,,1702,0,20,1988,i
3214494,"Acevski, Stevo",AUS,M,,,,,1915,0,20,1971,i
3210944,"Adams, Jonathan",AUS,M,,,,,1695,0,20,1957,i
3248925,"Adams, Justin",AUS,M,,,,,1696,0,20,1967,i
3248224,"Adams, Moby",AUS,M,,,,,1683,0,20,2005,i
3212149,"Addamo, Michael",AUS,M,,,,,1905,11,20,1994,
3286959,"Addison, Ben",AUS,M,,,,,1611,7,40,2010,
3286967,"Addison, Jack",AUS,M,,,,,1549,7,40,2010,
3240665,"Adeleye, Tosin",AUS,M,,,,,1724,0,20,1981,i
3244466,"Agare, Jean-Yves",AUS,M,,,,,1647,0,20,1974,i
3230104,"Aghabayov, Farid",AUS,M,,,,,1723,0,20,1994,i
3235904,"Ahadzada, Parviz",AUS,M,,,,,1841,0,20,2000,i
3236790,"Ahern, Sophia",AUS,F,,,,,1511,0,40,2007,wi
3268195,"Ahmad, Zeeshan",AUS,M,,,,,1602,0,20,1977,
3266257,"Airey, Dashiel",AUS,M,,,,,1541,0,40,2011,
3244792,"Akok, Benjamin",AUS,M,,,FA,,1573,8,20,1998,
3243710,"Aktapoda, John",AUS,M,,,,,1501,0,20,1967,
3241149,"Akulov, Alexey",AUS,M,,,,,1935,0,20,1972,i
3260305,"Al Zaher, Sibar",AUS,M,,,,,1615,0,20,1999,i
3246710,"Al-Neemy, Laith",AUS,M,,,,,1647,0,20,2004,i
4822749,"AL-Qassab, Mustafa",AUS,M,,,NA,,1607,0,20,2002,
3246485,"Al-Shabib, Whamid",AUS,M,,,,,1644,0,20,1955,i
3234401,"Alagusamy, Natarajan",AUS,M,,,,,1710,5,20,1975,
3228754,"Albert, Max",AUS,M,,,NA,,1644,0,20,1996,i
3248631,"Aldrich, James",AUS,M,,,,,1843,0,20,1999,i
3286975,"Aldridge-Sutton, Robin",AUS,M,,,,,1702,7,40,1983,
3241696,"Alejandrino, Fernan",AUS,M,,,,,1838,0,20,1987,i
3239454,"Aliyev, Kamran",AUS,M,,,,,1794,0,20,1993,
3236757,"Allaire, David",AUS,M,,,,,1762,0,20,1997,i
3234851,"Allaire, Serge",AUS,M,,,,,1623,0,20,1966,i
3271609,"Almoail, Ali",AUS,M,,,,,1445,0,20,2003,i
3263002,"Almutawa, Ayman",AUS,M,,,,,1748,0,20,2003,
