fideid,name,country,sex,title,w_title,o_title,foa_title,rating,games,k,birthday,flag
3249158,"Abbas, Mohammed",AUS,M,,,,,1673,0,20,1986,i
3208494,"Abbott, Peter",AUS,M,CM,,,,1908,6,20,1955,
3260275,"Abdul Rahman, Ahmad Hizwani",AUS,M,,,,,1446,0,40,1977,
3260623,"Abelman, Noah",AUS,M,,,,,1527,0,20,1998,i
3210944,"Adams, Jonathan",AUS,M,,,,,1798,0,20,1957,i
3248224,"Adams, Moby",AUS,M,,,,,1501,0,40,2005,
3240665,"Adeleye, Tosin",AUS,M,,,,,1707,0,20,1981,
3244466,"Agare, Jean-Yves",AUS,M,,,,,1611,0,20,1974,i
3276422,"Agarwal, Medhansh",AUS,M,,,,,1543,0,40,2011,
3235904,"Ahadzada, Parviz",AUS,M,,,,,1896,0,20,2000,i
3236790,"Ahern, Sophia",AUS,F,,,,,1544,0,40,2007,wi
3228380,"Ahmed, Hussain",AUS,M,,,,,1486,0,40,1980,i
3239497,"Ahmed, Zafar",AUS,M,,,,,1804,0,20,1987,i
3227928,"Ahmer, Axel",AUS,M,,,,,1835,0,20,1989,i
3249441,"Ahuja, Reyansh",AUS,M,,,,,1501,0,40,2011,
3266257,"Airey, Dashiel",AUS,M,,,,,1594,0,40,2011,i
3244792,"Akok, Benjamin",AUS,M,,,FA,,1574,0,20,1998,
3241149,"Akulov, Alexey",AUS,M,,,,,1945,0,20,1972,i
3246710,"Al-Neemy, Laith",AUS,M,,,,,1664,0,20,2004,i
4822749,"AL-Qassab, Mustafa",AUS,M,,,NA,,1488,0,20,2002,i
3205401,"Alagappan, Vignesh",AUS,M,,,,,1634,0,20,1999,i
3234401,"Alagusamy, Natarajan",AUS,M,,,,,1716,6,20,1975,
3228754,"Albert, Max",AUS,M,,,NA,,1796,5,20,1996,
3285030,"Alborough, Matthew",AUS,M,,,,,1513,0,40,1991,
3248631,"Aldrich, James",AUS,M,,,,,1828,0,20,1999,i
3261891,"Aldridge, Rohan",AUS,M,,,,,1714,0,20,1985,i
3217264,"Aleksovski, Bosko",AUS,M,,,,,1751,0,20,1945,i
3236897,"Alexander-Meylan, Arlo",AUS,M,,,,,1837,0,20,1997,i
3239454,"Aliyev, Kamran",AUS,M,,,,,1706,0,20,1993,i
3269442,"Alkan, Kaan",AUS,M,,,,,1555,0,40,1992,
3236757,"Allaire, David",AUS,M,,,,,1563,0,20,1997,i
3234851,"Allaire, Serge",AUS,M,,,,,1624,0,20,1966,i
3201554,"Allison, Graham",AUS,M,,,,,1688,0,20,1954,i
3249778,"Allman, Stuart",AUS,M,,,,,1560,0,20,1970,i
3263002,"Almutawa, Ayman",AUS,M,,,,,1766,9,20,2003,
3237834,"Alphonso, Aaron",AUS,M,,,,,1416,0,40,2011,i
3235017,"Althaf, Rifky",AUS,M,,,,,1837,0,20,1999,
3270262,"Amirthan, Gautam",AUS,M,,,,,1461,0,40,2013,i
3245861,"Amoore, Connor",AUS,M,,,,,1615,0,40,2010,
3263657,"Anamwong, Kane",AUS,M,,,,,1640,0,20,1996,i
3239080,"Andador, Dominador",AUS,M,,,,,1887,0,20,1967,
3220761,"Anderson, Kim",AUS,M,,,,,2011,0,40,1982,i
3210952,"Anderson, Michael",AUS,M,,,,,1799,0,20,1972,i
3238741,"Anderson, Mitchell P",AUS,M,,,,,1603,0,20,2004,i
3258289,"Anderson, Neville D",AUS,M,,,,,1598,0,20,1960,
3227120,"Andersson, Simon",AUS,M,,,,,1773,0,20,1972,i
3275779,"Annadasu, Shreyansh",AUS,M,,,,,1401,0,40,2014,
3239241,"Annamalai, Akshay",AUS,M,,,,,1514,0,40,2010,
3239683,"Annapureddy, Dhruthin Reddy",AUS,M,,,,,1478,0,40,2011,
3244806,"Annapureddy, Rheyansh Reddy",AUS,M,CM,,,,1947,0,40,2014,
3267890,"Anne, Nikhil",AUS,M,,,,,1605,0,40,2013,
3211517,"Ansari, Sharjeel",AUS,M,,,,,1700,0,20,1981,i
3234517,"Anup Kumar, Vihaan",AUS,M,,,,,1854,7,40,2010,
3248933,"Arav, Callan",AUS,M,,,,,1749,0,40,2013,i
3248941,"Arav, Jayden",AUS,M,,,,,1706,0,40,2009,i
3248950,"Arav, Nathan",AUS,M,,,,,1728,0,40,2010,i
3254178,"Arbel, Ethan",AUS,M,,,,,1758,0,40,2006,
3225917,"Archer, Saffron",AUS,F,,,,,1770,0,20,2004,wi
3248259,"Arditto, Justin",AUS,M,,,,,1699,0,20,1994,i
3245306,"Arguedas, Diego",AUS,M,,,,,1693,0,20,1991,i
3205681,"Arkins, Damien",AUS,M,,,,,1815,0,20,1975,i
3201732,"Armerman, Mendel",AUS,M,,,,,1819,0,20,,i
3229599,"Armstrong, Gary",AUS,M,,,,,1740,0,20,1954,
3270424,"Arriaga-Varela, Emmanuel",AUS,M,,,,,1579,0,40,1984,i
25630482,Arsh Gupta,AUS,M,,,,,1504,0,20,2003,i
