fideid,name,country,sex,title,w_title,o_title,foa_title,rating,games,k,birthday,flag
3242633,"Aanan, Shafiuddin",AUS,M,,,,,1925,0,20,2006,
3222039,"Abarca, Ethan",AUS,M,,,,,1655,0,20,1999,i
3208494,"Abbott, Peter",AUS,M,CM,,,,1888,0,20,1955,
3257525,"Abdul Hamid, Huzaifah",AUS,M,,,,,1505,0,40,1989,i
3271595,"Abel, William",AUS,M,,,,,1692,0,40,1980,i
3239195,"Aberathna, Chanara",AUS,F,,,,,1416,0,40,2008,wi
3239209,"Aberathna, Dinethsa",AUS,F,,,,,1442,0,40,2006,wi
9927085,"Abeynaike, Shawn A",AUS,M,,,,,1953,0,40,1991,i
3276244,"Abhayaratna, James",AUS,M,,,,,1455,0,40,2012,
3235513,"Abuleela, Izzy",AUS,M,,,,,1836,0,40,1966,i
3214087,"Accola, Tom",AUS,M,,,,,1674,0,40,1939,i
3214494,"Acevski, Stevo",AUS,M,,,,,1866,0,20,1971,i
3239594,"Adams, James",AUS,M,,,,,1765,0,40,1994,i
3210944,"Adams, Jonathan",AUS,M,,,,,1705,0,20,1957,i
3248925,"Adams, Justin",AUS,M,,,,,1686,0,40,1967,i
3248224,"Adams, Moby",AUS,M,,,,,1548,0,40,2005,
3212149,"Addamo, Michael",AUS,M,,,,,1941,0,20,1994,i
3240665,"Adeleye, Tosin",AUS,M,,,,,1665,0,40,1981,
3283305,"Adler, Sven",AUS,M,,,,,1491,0,40,1981,
3244466,"Agare, Jean-Yves",AUS,M,,,,,1561,1,20,1974,
3230104,"Aghabayov, Farid",AUS,M,,,,,1739,0,40,1994,i
3203760,"Aghamalyan, Armen",AUS,M,,,,,2194,0,20,,i
3203417,"Agulto, Edgardo",AUS,M,,,,,2174,0,20,1956,i
3236790,"Ahern, Sophia",AUS,F,,,,,1579,0,40,2007,wi
3228380,"Ahmed, Hussain",AUS,M,,,,,1583,0,40,1980,
3239497,"Ahmed, Zafar",AUS,M,,,,,1826,0,40,1987,i
3227928,"Ahmer, Axel",AUS,M,,,,,1885,0,20,1989,i
3249441,"Ahuja, Reyansh",AUS,M,,,,,1459,0,40,2011,i
3265307,"Aile, Alexander",AUS,M,,,,,1445,0,40,2012,
3254160,"Ainsworth, Luke",AUS,M,,,,,1594,0,20,1979,i
3244792,"Akok, Benjamin",AUS,M,,,FA,,1528,3,20,1998,
3241149,"Akulov, Alexey",AUS,M,,,,,1962,0,40,1972,i
3208680,"Akverdi, Alp",AUS,M,,,,,1737,0,20,1962,i
3207625,"Al Zaher, Louay",AUS,M,,,,,1806,0,40,1955,i
3260305,"Al Zaher, Sibar",AUS,M,,,,,1626,0,40,1999,i
3271790,"Al-Amein, Ali",AUS,M,,,,,1706,0,40,1986,
3246710,"Al-Neemy, Laith",AUS,M,,,,,1630,0,40,2004,i
4822749,"AL-Qassab, Mustafa",AUS,M,,,NA,,1533,0,40,2002,i
3246485,"Al-Shabib, Whamid",AUS,M,,,,,1663,0,40,1955,i
3201775,"Aladjova, Katrin",AUS,F,WFM,WFM,,,2115,0,20,1971,wi
3216160,"Albarracin, Gregorio",AUS,M,,,,,1919,0,40,1964,i
3228754,"Albert, Max",AUS,M,,,NA,,1727,2,20,1996,
3240673,"Aldana, Diego",AUS,M,,,,,1716,0,40,1984,i
3248631,"Aldrich, James",AUS,M,,,,,1838,0,40,1999,i
3241696,"Alejandrino, Fernan",AUS,M,,,,,1864,0,40,1987,i
3217264,"Aleksovski, Bosko",AUS,M,,,,,1679,4,20,1945,
3236897,"Alexander-Meylan, Arlo",AUS,M,,,,,1773,0,40,1997,i
3243982,"Alfredson, Joshua",AUS,M,,,,,1597,0,40,2006,i
3239454,"Aliyev, Kamran",AUS,M,,,,,1655,0,40,1993,
3231810,"Alizadeh, Nima",AUS,M,,,,,1487,0,40,2002,i
3204693,"Alkin, John",AUS,M,,,,,1946,0,20,1954,i
3236757,"Allaire, David",AUS,M,,,,,1623,0,40,1997,i
3234851,"Allaire, Serge",AUS,M,,,,,1594,0,40,1966,i
3201813,"Allen, Andrew",AUS,M,FM,,,,2263,0,20,1972,i
3243990,"Allen, Kris",AUS,M,,,,,1524,0,40,1988,i
3269922,"Allen, Matthew",AUS,M,,,,,1503,0,40,2000,
3234100,"Allen, Rodger",AUS,M,,,,,1587,0,40,1970,i
3215989,"Allison, Brian C",AUS,M,,,,,1747,0,20,1948,
3201554,"Allison, Graham",AUS,M,,,,,1722,0,20,1954,i
3263002,"Almutawa, Ayman",AUS,M,,,,,1850,1,20,2003,
3237834,"Alphonso, Aaron",AUS,M,,,,,1404,2,40,2011,
3235017,"Althaf, Rifky",AUS,M,,,,,1815,0,20,1999,
3236013,"Alwan, Ali",AUS,M,,,,,1648,0,40,2004,i
3208508,"Ambatali, Ric",AUS,M,,,,,1669,0,40,1957,i
1207075,"Ambrus, Endre",AUS,M,FM,,,,2316,0,10,1971,i
3270262,"Amirthan, Gautam",AUS,M,,,,,1448,0,40,2013,
3245861,"Amoore, Connor",AUS,M,,,,,1624,0,40,2010,
3232603,"Anand, Aditya",AUS,M,,,,,1677,0,20,2004,i
3246116,"Anand, Arjun",AUS,M,,,,,1523,0,40,1986,
3239080,"Andador, Dominador",AUS,M,,,,,1876,0,20,1967,
3205100,"Anderson, Alistair",AUS,M,,,,,1849,0,20,1961,
3240207,"Anderson, Brendan",AUS,M,CM,,,,1985,0,20,2004,
3220761,"Anderson, Kim",AUS,M,,,,,2094,0,40,1982,i
3210952,"Anderson, Michael",AUS,M,,,,,1788,0,20,1972,i
3238741,"Anderson, Mitchell P",AUS,M,,,,,1621,0,40,2004,i
3268772,"Anderson, Tim",AUS,M,,,,,1799,0,40,1972,
3209768,"Anderson-Smith, William",AUS,M,,,,,1850,0,20,1944,i
3227120,"Andersson, Simon",AUS,M,,,,,1789,0,20,1972,i
3243168,"Andrew, Christopher-Jack",AUS,M,,,,,1713,0,20,1997,i
3275779,"Annadasu, Shreyansh",AUS,M,,,,,1437,1,40,2014,
3239241,"Annamalai, Akshay",AUS,M,,,,,1442,2,40,2010,
3239683,"Annapureddy, Dhruthin Reddy",AUS,M,,,,,1509,3,40,2011,
3244806,"Annapureddy, Rheyansh Reddy",AUS,M,CM,,,,2096,0,40,2014,
3267890,"Anne, Nikhil",AUS,M,,,,,1630,0,40,2013,
3211517,"Ansari, Sharjeel",AUS,M,,,,,1660,0,20,1981,i
3201368,"Antolis, Cedric",AUS,M,,,,,1935,0,20,1994,i
3207102,"Anton, Sarah",AUS,F,WCM,WCM,,,1696,0,20,1989,w
3206130,"Antoniazzi, Francesco",AUS,M,CM,,,,1774,0,20,1965,
3234517,"Anup Kumar, Vihaan",AUS,M,,,,,1896,4,40,2010,
3201015,"Apcar, Fred",AUS,M,,,,,1955,0,40,1965,i
3228851,"Apostol, Marlon",AUS,M,,,,,1679,0,40,1979,i
3276163,"Appleton, David A",AUS,M,,,,,1912,0,40,1968,
3284611,"Aquilia, Sal",AUS,M,,,,,1608,2,40,1954,
3248933,"Arav, Callan",AUS,M,,,,,1728,4,40,2013,
3248941,"Arav, Jayden",AUS,M,,,,,1663,0,40,2009,
3248950,"Arav, Nathan",AUS,M,,,,,1800,3,40,2010,
3254178,"Arbel, Ethan",AUS,M,,,,,1703,0,40,2006,i
3225917,"Archer, Saffron",AUS,F,,,,,1849,0,20,2004,wi
3251241,"Ariyathilaka, Nikhil",AUS,M,,,,,1561,0,40,2010,
3271501,"Ariyathilaka, Saheli",AUS,F,,,,,1476,0,40,2014,w
